### base01
## base01_lv001: O.M.V.帝江号 | OMV Dijiang | O.M.V.帝江号 | O.M.V.제강호
- 基建区 | Working Sector | 基礎建設区画 | 기초 건설 구역 | es=?
- 谷地中转站 | Valley Transfer | 谷地中継所 | 협곡 환승역 | es=Transferencia del valle
- 军械库 | Arsenal | 武器庫 | 무기고 | es=Arsenal
- 谷地要塞 | Valley Fort | 谷地要塞 | 협곡 요새 | es=Fuerte del valle
- 通道入口 | Passage Entrance | 通路入口 | 통로 입구 | es=Entrada al pasillo
## map01_lv003: 阿伯莉采石场 | Aburrey Quarry | アブリー採石場 | 아부레이 채석장
- 废料堆放区 | Refuse Stockpile | 廃棄物保管場 | 폐기물 적재 구역 | es=Acumulación de desechos
- 装卸区 | Loading Area | 積卸場 | 하역 구역 | es=Zona de carga
- 传递区 | Transfer Area | 中継場 | 전달 구역 | es=Área de transferencia
- 采石场入口 | Quarry Entrance | 採石場入口 | 채석장 입구 | es=Entrada a la cantera
- 深层管理区 | Deep Management Post | 深層管理エリア | 심층 관리 구역 | es=Puesto de gestión profunda
- 存料处 | Stockpile Area | 資材保管所 | 재료 보관소 | es=Área de almacenamiento
- 吊运中枢 | Lifter Central | 運搬制御室 | 리프트 센터 | es=Central de elevadores
- 工人休息站 | Staff Lounge | 作業員休憩所 | 작업자 휴게소 | es=Sala del personal
- 联络区 | Listening Post | 通信拠点 | 통신 구역 | es=Puesto de escucha
- 采石作业区 | Quarry Site | 採掘現場 | 채석 작업 구역 | es=Sitio de la cantera
## map01_lv005: 源石研究园 | Originium Science Park | 源石研究パーク | 오리지늄 연구 구역
- 基建前站 | Infra-Station | 建設基地 | 기초 건설 주둔지 | es=Infraestación
- 生态种植区 | Eco-Farm | 栽培場 | 생태 재배 구역 | es=Granja ecológica
- 总控中心 | Control Center | 管制センター | 제어실 | es=Centro de control
- 山道缓坡 | Mountain Path Slope | 山の坂道 | 완만한 산길 | es=Cuesta del sendero de la montaña
- 五号公路 | Route 5 | 五号道路 | 5번 국도 | es=Ruta 5
- 转运枢纽 | Transport Nexus | 大型輸送拠点 | 수송 거점 | es=?
- 源石实验园区 | Originium Science Park | 源石実験エリア | 오리지늄 실험 구역 | es=Parque científico de Originio
- 研究所 | Research Center | 研究所 | 연구소 | es=Centro de investigación
- 崖边山道 | Cliffside Trail | 崖の山道 | 절벽 산길 | es=Sendero del acantilado
- 沉降地带 | The Depression | 窪地 | 침강 지대 | es=La depresión
- 醇化合物工厂 | Kohl Plant | 合成コール工場 | 콜 화합물 공장 | es=Planta de Kohl
## map01_lv006: 矿脉源区 | Origin Lodespring | 鉱山エリア | 광맥 구역
- 旧矿区 | Old Mines | 旧鉱区 | 옛 광산 지역 | es=Minas antiguas
- 运输区 | Logistics Area | 物流区 | 운송 구역 | es=Área de logística
- 矿区缆车站 | Mines Cable Car Station | 鉱区連絡所 | 케이블카 탑승장 | es=Estación de teleférico de las minas
- 世代摇篮 | Cradle of the Ages | 時代揺籠 | 세대의 요람 | es=Cuna de las eras
- 源石隧道 | Originium Passage | 源石トンネル | 오리지늄 터널 | es=Pasaje de originio
- 蚀崖观测站 | Blightcliff Observation Post | 蝕崖観測所 | 침식 절벽 관측소 | es=Puesto de observación de Riscoplaga
- 临时堆放区 | Temporary Stockpile | 臨時物資保管場 | 임시 보관 구역 | es=Almacén temporal
- 山地通道 | Mountain Passage | 山岳通路 | 산지 통로 | es=Paso montañoso
- 裂地者营地 | Landbreaker Camp | 無法者野営地 | 랜드브레이커 캠프 | es=Campamento rompesuelos
- 气候监测站 | Meteorological Station | 気象観測所 | 기상 관측소 | es=Estación meteorológica
- 矿区营地 | Mining Camp | 鉱区居住地 | 광산 생활 구역 | es=Campamento minero
- 矿区医疗站 | Mining Area Clinic | 鉱区診療所 | 광산 지역 의료소 | es=Clínica de la zona minera
- 崖边开采区 | Cliffside Mining Area | 崖の採掘区 | 절벽 채굴 구역 | es=Área minera del acantilado
- 隔离区岔路 | Containment Zone Intersection | 分かれ道 | 격리 구역 갈림길 | es=Cruce de la zona de contención
## map01_lv007: 供能高地 | Power Plateau | エネルギー高地 | 에너지 공급 고지
- 高地主路 | Plateau Trunkway | 高地大通り | 고지대 큰길 | es=Vía troncal de la meseta
- 旧宿舍区 | Old Dorms | 旧宿舎 | 옛 숙소 구역 | es=Dormitorios antiguos
- 电站通信站 | Power Plant Comm Station | 発電所通信局 | 발전소 통신소 | es=Estación de comunicaciones de la Planta de energía
- 源石发电站 | Originium Power Plant | 源石発電所 | 오리지늄 발전소 | es=Planta de energía de originio
- 超域试验场 | Æther Test Site | 超域実験場 | 초자연 실험장 | es=?
- 破碎边界 | Shattered Fringe | 破砕辺境 | 파괴된 경계 | es=Lindero fracturado
- 碾骨战营 | Bonekrusher Warcamp | 骨砕野営地 | 본 크러셔 캠프 | es=Campamento de guerra Rompehuesos
- 疏散区 | Evacuation Zone | 避難場所 | 대피 구역 | es=Zona de evacuación
- 建设规划区 | Planned Construction Area | 建設計画地 | 건설 계획 구역 | es=Área de construcción planificada
- 联盟停车场 | United Parking Lot | 工業団駐車場 | 연맹 주차장 | es=Estacionamiento unificado
- 桥头区营地 | Bridge Approach Camp | 橋頭野営地 | 다리 입구 구역 캠프 | es=Campamento de aproximación al puente
### map02
## map02_lv001: 景玉谷 | Jingyu Valley | 景玉谷 | 경옥 골짜기
- 水泽涧 | Everwater Brook | 水沢谷 | 수택 계곡 | es=Arroyo de Aguas Eternas
- 踩道 | Treadway | ぬかるんだ道 | 오솔길 | es=Pasarela
- 天王坪 | Sky King Flats | 天王原 | 천왕 평지 | es=Llanuras del Rey Celestial
- 清波寨外寨 | Qingbo Bailey | 清波砦外郭 | 청파채 외곽 | es=Qingbo Bailey
- 生态实验站 | Ecological Research Station | 生態研究所 | 생태 실험실 | es=Estación de investigación ecológica
- 淬剑荡 | Sword Quenching Marsh | 淬剣湖 | 쉬검 호수 | es=Pantano de forja de espadas
- 南山 | South Hill | 南山 | 남산 | es=Colina Sur
- 摘菱屿 | Zhailing Islet | 菱摘島 | 적릉서 | es=Islote Zhailing
- 迷踪林 | Stragglers Grove | 迷踪林 | 미종림 | es=Arboleda de los Rezagados
- 迷踪渡 | Stragglers Ford | 迷踪津 | 미종도 | es=Vado de los Rezagados
- 驮鼻山 | Burdosnout Hill | 駄鼻山 | 태비산 | es=Colina de Burdosnout
- 幽谷 | Gloomvale | 幽谷 | 깊은 골짜기 | es=Valle sombrío
- 聚宝窟 | Treasure Grotto | 集宝洞 | 보물의 심장부 | es=Gruta del tesoro
## map02_lv002: 武陵城 | Wuling City | 武陵城 | 무릉성
- 选剑局 | Bureau of Swordmancers | 選剣局 | 선검국 | es=Agencia de Espadachines
- 沉山道 | Chenshan Way | 沈山道 | 침산길 | es=Camino Chenshan
- 技术生产办公室 | Technological Production Office | 技術生産室 | 기술 생산 사무소 | es=Oficina de Producción Tecnológica
- 集成核心区域 | Core AIC Area | 集成工業エリア | 통합 핵심 구역 | es=Área central del CAI
- 不归林
 | Bugui Grove | 不帰林 | 불귀림 | es=Arboleda Bugui
- 实验作物试点区 | Agricultural Test Site | 実験栽培試行区 | 실험 작물 시범 구역 | es=Zona de pruebas agrícolas
- 界石坪 | Marker Stone Flats | 界石広場 | 경계석 평원 | es=Llanuras de Piedra Marcadora
- 息流行道 | Xiranflow Channel | 息流道路 | 식류 통로 | es=Canal de Flujo Xiran
- 天师桩阵列 | Tianshi Pillar Array | 天師杭陣 | 천사장 배열 | es=Conjunto de pilares de Tianshi
- 陵水道 | Lingshui Way | 陵水道 | 능수길 | es=Camino Lingshui
- 三窟岗 | Sanku Ridge | 三窟丘 | 삼굴 언덕 | es=Cresta Sanku
- 孤喉泽
 | Guhou Marsh | 孤喉沢 | 고후 늪지 | es=Marisma de Guhou
- 城外荒地 | Outskirt Barrens | 城外荒地 | 성 밖 황무지 | es=Baldíos de las afueras
- 警戒区 | Restricted Area | 警戒区 | 경계 구역 | es=Área restringida
- 葫芦洞 | Hulu Cave | 瓢箪洞 | 호로 동굴 | es=Cueva Hulu
- 储备站 | Field Logistics Depot | 備蓄施設 | 보급소 | es=Depósito logístico de campo
- 天井院 | Tianjing Courtyard | 観天院 | 천정원 | es=Patio de Tianjing
- 岸边石窟 | Riverbank Grotto | 岸辺の洞窟 | 안변 석굴 | es=Gruta de la ribera
- 待修缮区
 | Maintenance Zone | 修繕工事区 | 보수 예정 구역 | es=Zona de mantenimiento
- 观测站 | Monitoring Center | 観測所 | 관측소 | es=Centro de Monitoreo
- 弃剑台
 | Qijian Dais | 放剣台 | 폐검대 | es=Tarima Qijian
- 技术开发局
 | Bureau of Applied Technologies | 技術開発局 | 기술 개발국 | es=Oficina de Tecnologías aplicadas
- 方兴衢 | Fangxing Avenue | 方興街 | 방흥거리 | es=Avenida Fangxing
- 居民区 | Residential Area | 居住区 | 거주 구역 | es=Área residencial
- 市民广场 | Citizen Square | 市民広場 | 시민 광장 | es=Plaza Ciudadana
- 天师府学院 | Tianshi Bureau Academy | 天師府学院 | 천사부 학원 | es=Academia de la Oficina de Tianshi
- 材料研究所 | Institute of Materials Science | 材料研究所 | 재료 연구소 | es=Instituto de ciencia de los materiales
## map02_lv003: 清波寨 | Qingbo Stockade | 清波砦 | 청파채
- 顶天梁 | Skyhold Ridge | 頂天梁 | 정천 다리 | es=Cresta de Bastión Celestial
- 栈桥道 | Causeway Trail | 陸橋道 | 잔교길 | es=Sendero de la Calzada
- 青子林 | Bladewoods | 青鋒林 | 청자숲 | es=Bosque de Espadas
- 主寨 | Main Fort | 主郭 | 주채 | es=Fuerte principal
- 祖泉 | Ancestral Spring | 祖泉 | 선조의 샘 | es=Manantial ancestral
## map02_lv004: 首墩 | Marker Stone | 首礎 | 수돈
- 望楼蓄水站 | Watchtower Reservoir Station | 貯水施設 | 망루 저수 시설 | es=Estación de embalse de la Atalaya
- 控制区 | Restricted Area | 制御区 | 제어 구역 | es=Área restringida
- 栖云林地 | Cloudrest Woods | 栖雲林 | 서운 숲지대 | es=Bosque de Reposo Nuboso
- 湖心岛 | Lake Islet | 河岸台 | 호심도 | es=Isleta del lago
- 城建馆 | Urban Development Hall | 都市建設館 | 도시 건설관 | es=Salón de Desarrollo Urbano
- 安思园 | Serenity Garden | 安思園 | 안사원 | es=Jardín de la Serenidad
## indie_dg007: 首墩内部 | Marker Stone Interiors | 首礎内部 | 수돈 내부
- 望楼蓄水站 | Watchtower Reservoir Station | 貯水施設 | 망루 저수 시설 | es=?
## map02_lv005: 试验园区 | Test Area | 実験区域 | 실험 구역
- 一号丙型辅桩区 | Type-C Auxiliary Pillar Area 1 | 丙型補杭エリア1 | 1번 C형 보조 기둥 구역 | es=Área 1 de pilares auxiliares de tipo C
- 二号丙型辅桩区 | Type-C Auxiliary Pillar Area 2 | 丙型補杭エリア2 | 2번 C형 보조 기둥 구역 | es=Área 2 de pilares auxiliares de tipo C
- 三号丙型辅桩区 | Type-C Auxiliary Pillar Area 3 | 丙型補杭エリア3 | 3번 C형 보조 기둥 구역 | es=Área 3 de pilares auxiliares de tipo C
- 园区外围 | Test Area Peripheries | 実験区域・外縁 | 실험 구역 외곽 | es=Periferias del área de pruebas
- 经纬田区 | Meridian Grid Area | 格子田エリア | 경위 논밭 구역 | es=Área de la red de meridianos
- 综合科研区 | Integrated R&D Area | 総合研究エリア | 종합 과학 연구 구역 | es=?
- 污水处理区 | Water Treatment Sector | 汚水処理エリア | 오염수 처리 구역 | es=Sector de tratamiento de aguas
## map02_lv006: 藏剑谷 | Sword Vault Dale | 蔵剣谷 | 장검 골짜기
- 山后小径 | Leeward Trail | 山の小道 | 산 뒤편 작은 길 | es=Sendero de sotavento
- 西谷峡道 | West Gorge Path | 谷西の通路 | 서쪽 골짜기 좁은 길 | es=Sendero del desfiladero oeste
- 南谷旧垣 | South Gorge Rampart | 谷南の旧跡 | 남쪽 골짜기 옛 방벽 | es=Muralla del desfiladero sur
- 东谷遗迹 | East Gorge Ruins | 谷東の遺跡 | 동쪽 골짜기 유적 | es=Ruinas del desfiladero este
- 幽径隧洞 | Shadow Tunnel | 密かな洞窟 | 유경 동굴 | es=Túnel sombrío
- 北谷浮崖 | North Gorge Crag | 谷北の浮崖 | 북쪽 골짜기 부유 절벽 | es=Peñasco del desfiladero norte
- 谷底秘库 | Deep Gorge Vault | 谷底の秘庫 | 골짜기 하부 비밀 창고 | es=Bóveda del desfiladero profundo
- 古剑崖 | Old Blade Precipice | 古剣崖 | 옛 검 절벽 | es=Precipicio de la hoja antigua
- 悬谷台 | Gorge Overhang | 懸谷台 | 현곡대 | es=Saliente del desfiladero
## map02_lv007: 应龙关 | Yinglung Pass | 応龍関 | 응룡 관문
- 禁门 | Exclusion Gate | 封門 | 금지 구역 입구 | es=?
- 应龙主营 | YSTF Main Camp | 応龍本陣 | 응룡 주 영지 | es=?
- 盈天台建设站 | Xiranflow Cloudseeder Station | 満天台建設基地 | 영천대 건설 기지 | es=?
- 废弃偏楼 | Abandoned Side Building | 廃別棟 | 폐기된 별관 | es=?
- 应龙档案室 | YSTF Filing Room | 応龍資料室 | 응룡 자료실 | es=?
- 置器阁 | Device Pavilion | 納器館 | 무기각 | es=?
- 临关渠 | Pass-Side Canal | 臨関水路 | 관문 근처 수로 | es=?
- 奇松岭 | Odd Pine Ridge | 怪松山脈 | 기송 산맥 | es=?
- 石涧崖 | Stonepond Cliff | 石谷崖 | 석간 절벽 | es=?
- 探云坪 | Cloudscraper Flats | 探雲台 | 탐운 평야 | es=?
- 烽燧台 | Balepyre Dais | 烽火台 | 봉수대 | es=?
## map02_lv008: 北部禁区 | North Wuling Exclusion Zone | 北部封鎖区域 | 북쪽 금지 구역
- 前哨基地 | Sentry Base | 前進拠点 | 전초기지 | es=?
- 谈剑堂 | Tanjian Hall | 談剣堂 | 담검당 | es=?
- 息壤研究所 | Xiranite Research Labs | 息壌研究所 | 식양 연구소 | es=?
- 天柱 | Celestial Column | 天柱 | 천주 | es=?
- 城建区 | Designated Urban Area | 都市建設エリア | 도시 건설 구역 | es=?
- 平波堤 | Quelltide Levee | 平波堤 | 평파 제방 | es=?
- 天师桩研发中心 | Tianshi Pillar R&D Center | 天師杭研究本部 | 천사장 연구 개발 센터 | es=?
- 近崖草庭 | Cliffside Courtyard | 断崖野草園 | 절벽 근처 정원 | es=?
- 水利枢纽 | Waterworks Hub | 水管理施設 | 수자원 관리 거점 | es=?
- 幽台试验场 | Ghost Mesa Test Site | 幽台実験場 | 유대 실험장 | es=?
- 断瘴廊 | Miasma's End | 絶霧通路 | 단장 회랑 | es=?
- 武陵甚大裂隙上层 | Wuling VLR, Upper Area | 巨大な裂け目上層 | 무릉 대균열 상층 | es=?
## indie_dg005: 总桩办公室 | Main Pillar Office | 総杭執務室 | 주 기둥 사무실
